ts,node,s_temp_win_c,s_hum_win_pct,s_temp_out_c,s_hum_out_pct
1764309017.9878552,camera,AWAKE_IN_ROOM,0.8
1764309020.666282,window,23.34,48.96,23.0,49.2
1764309028.0589488,camera,AWAKE_IN_ROOM,0.8
1764309030.671469,window,23.33,48.96,23.0,49.3
1764309038.1143317,camera,AWAKE_IN_ROOM,0.8
1764309040.6781785,window,23.33,48.98,23.0,49.3
1764309048.1933117,camera,AWAKE_IN_ROOM,0.8
1764309050.6819644,window,23.34,49.0,23.0,49.3
1764309058.2499452,camera,AWAKE_IN_ROOM,0.8
1764309060.6879346,window,23.33,49.0,23.0,49.2
1764309068.2517195,camera,AWAKE_IN_ROOM,0.8
1764309070.6945193,window,23.33,48.99,23.0,49.1
1764309078.2768154,camera,AWAKE_IN_ROOM,0.8
1764309080.69829,window,23.33,48.99,23.0,49.1
1764309088.2784295,camera,AWAKE_IN_ROOM,0.8
1764309090.7135708,window,23.32,49.02,23.0,49.2
1764309098.3424282,camera,AWAKE_IN_ROOM,0.8
1764309100.709598,window,23.32,49.04,23.0,49.3
1764309108.347684,camera,AWAKE_IN_ROOM,0.8
1764309110.7171638,window,23.32,49.05,23.0,49.2
1764309118.4237247,camera,AWAKE_IN_ROOM,0.8
1764309120.7189078,window,23.31,49.05,23.0,49.1
1764309128.4325287,camera,AWAKE_IN_ROOM,0.8
1764309130.7246509,window,23.31,49.02,23.0,49.1
1764309138.5134015,camera,AWAKE_IN_ROOM,0.8
1764309140.7287176,window,23.31,49.01,23.0,49.0
1764309148.5666564,camera,AWAKE_IN_ROOM,0.8
1764309150.7348979,window,23.31,48.98,23.0,48.9
1764309158.575262,camera,AWAKE_IN_ROOM,0.8
1764309160.7402763,window,23.31,48.95,23.0,49.0
1764309168.6142218,camera,AWAKE_IN_ROOM,0.8
1764309170.7426636,window,23.31,48.94,23.0,49.0
1764309178.6251862,camera,AWAKE_IN_ROOM,0.8
1764309180.7574034,window,23.31,48.97,23.0,49.3
